Sample,Total length,Segment,Width,Colour,dwt mg
72A-1.0,10.9,10,W,B,1.6
72A-1.0,6.2,1,W,A,2.4
72A-1.0,6.2,2,W,A,2.9
72A-1.0,6.2,3,W,A,2.8
72A-1.0,6.2,4,W,A,4.6
72A-1.0,6.2,5,W,A,4
72A-1.0,6.2,6,W,A,3.9
72C-4.1,8.6,1,W,A,3.2
72C-4.1,8.6,2,W,A,2.2
72C-4.1,8.6,3,W,A,4.2
72C-4.1,8.6,4,W,A,2.9
72C-4.1,8.6,5,W,A,1.8
72C-4.1,8.6,6,W,B,2.4
72C-4.1,8.6,7,W,B,2
72C-4.1,8.6,8,W,D,1.2
72C-4.1,6.2,1,W,A,2.9
72C-4.1,6.2,2,W,A,3
72C-4.1,6.2,3,W,A,1.9
72C-4.1,6.2,4,N,A,1
72C-4.1,6.2,5,W,B,1.4
72C-4.1,6.2,6,N,B,1.2
72C-4.1,7.3,1,N,A,2.5
72C-4.1,7.3,2,W,A,4.3
72C-4.1,7.3,3,W,A,3.9
72C-4.1,7.3,4,W,A,3.7
72C-4.1,7.3,5,W,A,3.1
72C-4.1,7.3,6,W,B,3.2
72C-4.1,7.3,7,W,B,2.5
72C-4.0,8.2,1,W,A,2.7
72C-4.0,8.2,2,W,A,4.3
72C-4.0,8.2,3,W,A,3.4
72C-4.0,8.2,4,W,A,3.1
72C-4.0,8.2,5,W,A,3.4
72C-4.0,8.2,6,W,D,2.3
72C-4.0,8.2,7,W,B,2.2
72C-4.0,8.2,8,N,B,1.5
72C-4.0,4.1,1,W,A,2.4
72C-4.0,4.1,2,W,A,3.4
72C-4.0,4.1,3,W,A,3.2
72C-4.0,4.1,4,W,A,3.3
72C-4.0,8.3,1,W,A,3.1
72C-4.0,8.3,2,W,A,3.8
72C-4.0,8.3,3,W,A,4.2
72C-4.0,8.3,4,W,A,3.7
72C-4.0,8.3,5,W,A,2.8
72C-4.0,8.3,6,W,B,2
72C-4.0,8.3,7,W,B,2.1
72C-4.0,8.3,8,N,D,0.9
72C-1.1,7.6,1,W,A,4.5
72C-1.1,7.6,2,W,A,3.7
72C-1.1,7.6,3,W,A,3.7
72C-1.1,7.6,4,W,A,3.8
72C-1.1,7.6,5,W,A,2.7
72C-1.1,7.6,6,N,A,2.6
72C-1.1,7.6,7,W,A,3.8
72C-1.1,6.5,1,W,A,5.2
72C-1.1,6.5,2,W,A,6.7
72C-1.1,6.5,3,W,A,4.8
72C-1.1,6.5,4,W,A,3.4
72C-1.1,6.5,5,W,A,2.3
72C-1.1,6.5,6,W,A,2.6
72C-1.1,6.2,1,N,A,2.3
