ID,Block,Time,Chamber,Plot,Frag,pos,grow01,grow12,grow23,notes01,notes12,notes23
34C-2.c,3,4,C,34C,2,c,1.03,0.59,-1.24,dry,,dry + curly
34C-2.c2,3,4,C,34C,2,c2,.,6.37,7.45,,,
34C-3.0,3,4,C,34C,3,0,0.22,0.83,-0.08,dry,,
34C-3.1,3,4,C,34C,3,1,8.55,3.85,4.45,,,
34C-3.W,3,4,C,34C,3,W,.,3.59,7.76,,loose shoot,loose
34C-3.c,3,4,C,34C,3,c,12.30,5.40,5.57,wet,,
34C-3.c2,3,4,C,34C,3,c2,.,7.77,4.06,,,
34C-4.0,3,4,C,34C,4,0,0.12,-2.11,0.35,18.42,,dry + curly
34C-4.1,3,4,C,34C,4,1,7.52,19.23,3.93,,"long + thin, broke",
34C-4.N,3,4,C,34C,4,N,0.38,-1.45,0.91,,,dry + curly
34C-E.0,3,4,C,34C,E,0,.,0.13,5.73,,"MIA (found outside 34C, NW?)",
34C-E.1,3,4,C,34C,E,1,.,2.02,5.35,,,
34C-N.0,3,4,C,34C,N,0,.,0.57,-2.50,,,dry + curly
34C-N.1,3,4,C,34C,N,1,.,3.50,1.13,,,
34C-S.0,3,4,C,34C,S,0,.,2.88,3.39,,,
34C-S.1,3,4,C,34C,S,1,.,3.45,3.24,curly,,
34C-W.0,3,4,C,34C,W,0,.,2.18,2.57,,,
34C-W.1,3,4,C,34C,W,1,.,3.29,-1.56,,curly,curly
43A-1.0,4,3,A,43A,1,0,.,3.48,6.57,,,
43A-1.1,4,3,A,43A,1,1,.,1.07,5.32,,,
43A-1.N,4,3,A,43A,1,N,.,5.07,6.38,,,
43A-2.0,4,3,A,43A,2,0,.,4.09,3.00,,curly,
43A-2.1,4,3,A,43A,2,1,.,4.39,4.51,,,
43A-2.E,4,3,A,43A,2,E,.,-3.44,17.27,,,
43A-2.c,4,3,A,43A,2,c,.,0.73,6.42,,,
43A-3.0,4,3,A,43A,3,0,.,3.54,16.38,,,
43A-3.1,4,3,A,43A,3,1,.,5.14,1.05,curly,,
43A-3.W,4,3,A,43A,3,W,.,2.96,4.97,,,
43A-3.c,4,3,A,43A,3,c,.,4.64,5.32,,,
43A-4.0,4,3,A,43A,4,0,.,4.20,7.09,,,
43A-4.1,4,3,A,43A,4,1,.,4.59,1.72,,,
43A-4.S,4,3,A,43A,4,S,.,4.19,5.37,,curly,
43B-1.0,4,3,B,43B,1,0,.,3.20,0.52,,,
43B-1.1,4,3,B,43B,1,1,.,0.10,5.34,,,
43B-1.S,4,3,B,43B,1,S,.,3.34,5.84,,curly,
43B-2.0,4,3,B,43B,2,0,.,0.28,-0.60,curly,,dry + curly
43B-2.1,4,3,B,43B,2,1,.,2.58,6.67,,,
43B-2.W,4,3,B,43B,2,W,.,3.30,0.85,,,
43B-2.c,4,3,B,43B,2,c,.,3.41,5.80,,,
43B-3.0,4,3,B,43B,3,0,.,2.48,2.17,wet,,
43B-3.1,4,3,B,43B,3,1,.,2.01,1.98,,,
43B-3.N,4,3,B,43B,3,N,.,0.70,-7.05,dry,,dry *(broken??)
43B-3.c,4,3,B,43B,3,c,.,2.73,1.41,,,
43B-4.0,4,3,B,43B,4,0,.,1.65,3.86,,,
43B-4.1,4,3,B,43B,4,1,.,4.42,6.76,,,
43B-4.E,4,3,B,43B,4,E,.,1.77,0.63,curly,,
43C-1.0,4,3,C,43C,1,0,.,1.61,1.89,,,
43C-1.1,4,3,C,43C,1,1,.,2.39,5.97,,,
43C-1.S,4,3,C,43C,1,S,.,2.66,6.18,,curly,
43C-2.0,4,3,C,43C,2,0,.,-0.92,1.02,curled,,dry + curly
43C-2.1,4,3,C,43C,2,1,.,3.62,5.05,,,
43C-2.E,4,3,C,43C,2,E,.,2.19,1.50,,,
43C-2.c,4,3,C,43C,2,c,.,6.49,6.85,,,
43C-3.0,4,3,C,43C,3,0,.,-0.39,0.78,curled,,dry + curly
43C-3.1,4,3,C,43C,3,1,.,0.70,6.36,,,
