Treatment,Block,t-point,Warming,Frag,pos,tin,Total WET,Total DRY,wwt,dwt,%H2O,Moisture Contents,Notes
34A-1.1,3,4,A,1,1,166.58,358.74,189.32,192.16,22.74,745.03
34A-1.S,3,4,A,1,S,167.82,326.22,184.83,158.40,17.01,831.22
34A-1.E,3,4,A,1,E,165.80,396.26,200.36,230.46,34.56,566.84
34A-2.0,3,4,A,2,0,166.41,278.62,180.59,112.21,14.18,691.33
34A-2.1,3,4,A,2,1,164.64,268.78,176.81,104.14,12.17,755.71
34A-2.S,3,4,A,2,S,164.60,283.39,179.66,118.79,15.06,688.67
34A-2.W,3,4,A,2,W,165.24,271.66,180.09,106.42,14.85,616.63
34A-3.0,3,4,A,3,0,164.72,251.98,179.39,87.26,14.67,494.82
34A-3.1,3,4,A,3,1,165.87,294.85,181.26,128.98,15.39,738.08
34A-3.N,3,4,A,3,N,167.71,267.55,184.30,99.84,16.59,501.81
34A-3.W,3,4,A,3,W,168.18,296.56,187.54,128.38,19.36,563.12
34A-4.0,3,4,A,4,0,166.32,293.11,184.20,126.79,17.88,609.12
34A-4.1,3,4,A,4,1,166.55,301.23,182.29,134.68,15.74,755.65
34A-4.N,3,4,A,4,N,166.86,288.49,182.88,121.63,16.02,659.24
34A-4.E,3,4,A,4,E,167.55,299.93,181.97,132.38,14.42,818.03
34B-1.0,3,4,B,1,0,165.90,247.28,179.60,81.38,13.70,494.01
34B-1.1,3,4,B,1,1,166.56,301.02,182.40,134.46,15.84,748.86
34B-1.N,3,4,B,1,N,165.82,284.92,180.61,119.10,14.79,705.27
34B-1.E,3,4,B,1,E,164.36,255.80,177.55,91.44,13.19,593.25
34B-2.0,3,4,B,2,0,166.26,255.58,178.06,89.32,11.80,656.95
34B-2.1,3,4,B,2,1,164.68,249.28,174.98,84.60,10.30,721.36
34B-2.N,3,4,B,2,N,166.49,233.68,177.95,67.19,11.46,486.30
34B-2.W,3,4,B,2,W,166.60,236.95,179.71,70.35,13.11,436.61
