ID,sp_alias,Major Taxa,Taxonomic Group,11A-4.O,11C-2.O,11C-4.O,11C-4.I,31A-4.O,31C-2.O,31C-4.O,31C-4.I,51A-4.O,51C-2.O,51C-4.O,51C-4.I,71A-4.O,71C-2.O,71C-4.O,71C-4.I,14A-1.O,14C-2.O,14C-4.O,14C-4.I,34A-1.O,34C-2.O,34C-4.O,34C-4.I,54A-1.O,54C-2.O,54C-4.O,54C-4.I,74A-1.O,74C-2.O,74C-4.O,74C-4.I
Bdellid sp. 2 - Biscirus sp.2,,Prostigmata,Prostigmata,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bdellid sp. 3 - Cyta sp.,,Prostigmata,Prostigmata,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bdellid sp. 4 - Bdella sp.,,Prostigmata,Prostigmata,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,14,1,0,0,0
Trombidiidae sp. 1 (T1),,Prostigmata,Prostigmata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Charadracarus sp. (T3),,Prostigmata,Prostigmata,0,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thrombid long legs (T5),,Prostigmata,Prostigmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Stylet,,Prostigmata,Prostigmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0
Rhagid 1,,Prostigmata,Prostigmata,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,2,1,0,1
Rhagid 2,,Prostigmata,Prostigmata,3,1,14,1,3,0,0,1,0,0,0,0,4,0,0,2,0,0,0,9,1,0,0,1,6,0,0,17,3,2,0,2
Rhagid 3,,Prostigmata,Prostigmata,9,2,2,6,12,0,0,2,4,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9
Type A - post setae,,Prostigmata,Prostigmata,0,18,114,19,24,1,2,24,14,0,4,39,77,2,3,22,64,0,0,30,0,324,213,7,76,8,0,6,19,210,0,12
Type B - w/o post setae,,Prostigmata,Prostigmata,4,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0
"Type C - sm. elong, yellow",,Prostigmata,Prostigmata,13,10,48,6,8,0,0,12,15,0,0,40,3,0,0,10,11,0,0,4,0,0,0,21,40,0,1,22,53,5,0,27
Type D-extreme leg 1,,Prostigmata,Prostigmata,3,0,1,0,1,0,0,2,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
Zerconid sp. 1-Parazercon (radiatus),,Mesostigmata,Mesostigmata,31,17,15,40,6,0,0,5,16,0,0,21,37,0,0,23,25,0,0,9,1,0,0,17,28,0,0,8,47,4,0,12
Parazercon sp. Imm,,Mesostigmata,Mesostigmata,71,29,7,16,8,0,0,3,31,0,0,27,39,0,0,25,17,0,0,18,10,0,0,2,61,0,0,38,28,2,0,7
Zerconid sp. 2-Zercon sp.,,Mesostigmata,Mesostigmata,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0
Sejina sp.,,Mesostigmata,Mesostigmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,7,0,0,0,0
Gamasina sp. 1,,Mesostigmata,Mesostigmata,4,47,25,14,0,0,0,1,24,0,0,8,13,0,0,38,4,0,0,0,0,1,0,19,41,0,0,0,6,5,0,7
Gamasina sp. imm,,Mesostigmata,Mesostigmata,1,30,0,1,0,0,0,1,3,0,0,1,13,0,0,1,8,0,0,0,0,1,0,3,1,0,0,14,0,3,1,5
Large Vagaeid,,Mesostigmata,Mesostigmata,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,4,0,0,1
Gamasina sp. 2,,Mesostigmata,Mesostigmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Laelapid sp. 1 - round,,Mesostigmata,Mesostigmata,1,1,4,0,0,0,0,4,0,0,0,0,7,0,0,1,1,0,0,0,0,4,1,0,0,2,0,0,1,3,0,1
Laelapid sp. 2 - rough,,Mesostigmata,Mesostigmata,0,3,6,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pergamascus,,Mesostigmata,Mesostigmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uropodid sp. 1,,Mesostigmata,Mesostigmata,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,12,0,0,0,0,0,0,0,0,30,0,0,0
Uropodid sp. 2,,Mesostigmata,Mesostigmata,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,10,3,0,0,2,1,0,0,0,0,0,0,4,6,0,0,0
Uropodid sp. 3,,Mesostigmata,Mesostigmata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,38,0,0,18
Uropodid sp. 4,,Mesostigmata,Mesostigmata,4,1,0,0,6,0,0,0,1,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,9
Tomocerid sp. (lg yellow),,Collembola,Collembola,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,77,0,0,0,85,0,0,148
Entomobryid sp. 2 (lg purple),,Collembola,Collembola,19,14,17,11,25,0,0,1,20,0,0,14,8,0,0,4,181,0,0,0,9,0,6,33,4,0,0,0,42,5,0,86
Isotoma sp. 6 notabilis (med purple),,Collembola,Collembola,106,179,159,44,143,0,1,6,102,0,0,54,147,0,1,220,13,0,1,5,30,0,1,60,37,0,1,89,18,62,1,5
"Entomobryid sp. 3 (med white, long furc)",,Collembola,Collembola,9,0,0,0,1,0,0,2,3,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Isotomid sp.4- (sm, purple no furc)",,Collembola,Collembola,8,10,10,1,3,0,0,0,3,0,0,1,0,0,0,3,121,0,0,0,0,4,0,10,0,1,0,0,0,0,0,0
Podurid sp. 1 - med,,Collembola,Collembola,3,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
Podurid sp. 2 - large,,Collembola,Collembola,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Podurid sp. 3 - small,,Collembola,Collembola,0,0,0,0,1,0,0,0,3,0,0,1,27,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onchyurus (sm white no furc),,Collembola,Collembola,4,9,3,8,59,1,3,11,139,0,5,11,87,0,0,21,1,0,0,0,0,0,0,0,0,1,0,0,0,110,0,0
Folsomia penicula (sm white),,Collembola,Collembola,5,0,18,6,6,0,0,0,4,0,0,4,1,0,0,8,1,0,0,0,0,6,0,3,3,0,0,0,3,0,0,0
Metisotoma grandiceps,,Collembola,Collembola,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Symphyplyonid sp. 1,,Collembola,Collembola,5,4,2,32,0,0,1,1,0,0,0,4,0,0,0,1,6,0,0,5,0,0,0,12,0,0,0,0,0,0,0,6
Symphyplyonid sp. 2,,Collembola,Collembola,3,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Symphyplyonid sp. 3,,Collembola,Collembola,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
neelidae,,Collembola,Collembola,5,0,1,2,5,0,1,3,1,0,0,1,15,0,0,14,2,0,0,4,7,0,0,31,3,0,0,37,2,0,0,1
large spider,,Other,Other,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
med spider,,Other,Other,2,4,0,7,10,0,0,12,1,5,0,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small spider,,Other,Other,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,19,0,0,9,5,0,0,1,7,0,0,15,2,3,0,2
Staphylinidae,,Other,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Diptera adult,,Other,Other,0,0,0,0,6,0,0,22,0,0,0,0,3,22,2,0,0,0,2,1,4,4,0,4,2,0,0,4,1,0,0,0
Diptera larva ,,Other,Other,1,33,5,1,1,0,0,1,0,0,0,2,4,0,0,4,0,0,0,8,0,0,0,31,4,0,0,5,5,3,0,1
Coleoptera larva,,Other,Other,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,3,7,0,0,0,0,0
Phytophagous aphid,,Other,Other,0,0,0,0,52,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,3
moth,,Other,Other,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
