Treatment,Block,t-point,Warming,Frag,pos,tin,tin+moss_wwt,tin+moss_dwt,wwt,dwt,%H2O,Moisture Contents,Notes
22C-3-E,2,2,C,3,E,167.72,232.31,178.48,64.59,10.76,500.28,83.341,Entered as 22C-3W
22C-4-E,2,2,C,4,E,166.63,306.99,180.29,140.36,13.66,927.53,90.268,
22C-4-I,2,2,C,4,I,166.48,257.48,180.20,91,13.72,563.27,84.923,
22C-4-O,2,2,C,4,O,167.57,287.05,179.16,119.48,11.59,930.89,90.300,
22C-4-S,2,2,C,4,S,165.01,275.54,175.29,110.53,10.28,975.19,90.699
32A-1-E,3,2,A,1,E,164.52,326.50,181.85,161.98,17.33,834.68,89.301
32A-1-I,3,2,A,1,I,166.38,361.42,185.94,195.04,19.56,897.14,89.971
32A-1-O,3,2,A,1,O,166.24,355.62,185.28,189.38,19.04,894.64,89.946
32A-1-S,3,2,A,1,S,166.20,400.81,197.03,234.61,30.83,660.98,86.859
32A-2-I,3,2,A,2,I,166.56,299.87,186.95,133.31,20.39,553.80,84.705
32A-2-N,3,2,A,2,N,166.33,306.29,189.55,139.96,23.22,502.76,83.410
32A-2-O,3,2,A,2,O,166.05,306.11,191.85,140.06,25.8,442.87,81.579
32A-2-W,3,2,A,2,W,168.16,282.00,183.65,113.84,15.49,634.93,86.393
32A-3-E,3,2,A,3,E,167.80,259.47,181.68,91.67,13.88,560.45,84.859
32A-3-I,3,2,A,3,I,164.60,307.12,183.78,142.52,19.18,643.07,86.542
32A-3-N,3,2,A,3,N,166.39,298.78,183.90,132.39,17.51,656.08,86.774
32A-3-O,3,2,A,3,O,164.68,293.94,181.04,129.26,16.36,690.10,87.343
32A-4-I,3,2,A,4,I,165.84,373.22,187.17,207.38,21.33,872.25,89.715
32A-4-O,3,2,A,4,O,166.50,324.66,183.17,158.16,16.67,848.77,89.460
32A-4-S,3,2,A,4,S,164.23,302.02,180.00,137.79,15.77,773.75,88.555
32A-4-W,3,2,A,4,W,167.24,275.39,182.66,108.15,15.42,601.36,85.742
32B-1-I,3,2,B,1,I,164.76,298.13,183.45,133.37,18.69,613.59,85.986
32B-1-N,3,2,B,1,N,166.61,401.16,195.33,234.55,28.72,716.68,87.755
32B-1-O,3,2,B,1,O,166.59,293.24,190.69,126.65,24.1,425.52,80.971
32B-1-W,3,2,B,1,W,165.32,306.03,187.14,140.71,21.82,544.87,84.493
32B-2-I,3,2,B,2,I,167.02,274.85,183.29,107.83,16.27,562.75,84.911
32B-2-O,3,2,B,2,O,164.58,320.34,183.12,155.76,18.54,740.13,88.097
32B-2-S,3,2,B,2,S,165.79,249.77,177.09,83.98,11.3,643.19,86.544
32B-2-W,3,2,B,2,W,166.82,269.33,182.54,102.51,15.72,552.10,84.665
32B-3-I,3,2,B,3,I,165.45,291.76,182.01,126.31,16.56,662.74,86.889
32B-3-E,3,2,B,3,E,165.69,386.44,186.00,220.75,20.31,986.90,90.800
32B-3-O,3,2,B,3,O,168.87,329.93,185.56,161.06,16.69,865.01,89.637
32B-3-S,3,2,B,3,S,166.82,292.88,180.15,126.06,13.33,845.69,89.426
32B-4-E,3,2,B,4,E,167.61,355.20,188.86,187.59,21.25,782.78,88.672
32B-4-I,3,2,B,4,I,166.40,270.59,181.64,104.19,15.24,583.66,85.373
32B-4-N,3,2,B,4,N,167.47,240.78,183.81,73.31,16.34,348.65,77.711
32B-4-O,3,2,B,4,O,164.91,287.88,183.69,122.97,18.78,554.79,84.728
32C-1-W,3,2,C,1,W,166.55,309.76,187.00,143.21,20.45,600.29,85.720
32C-1-I,3,2,C,1,I,167.34,386.31,193.02,218.97,25.68,752.69,88.272
32C-1-O,3,2,C,1,O,164.37,227.22,177.65,62.85,13.28,373.27,78.870
32C-1-N,3,2,C,1,N,165.90,268.65,180.85,102.75,14.95,587.29,85.450
32C-2-W,3,2,C,2,W,166.15,278.17,183.60,112.02,17.45,541.95,84.422
32C-2-I,3,2,C,2,I,166.23,274.27,182.92,108.04,16.69,547.33,84.552
32C-2-S,3,2,C,2,S,166.39,350.64,191.65,184.25,25.26,629.41,86.290
32C-2-O,3,2,C,2,O,164.57,206.87,181.90,42.3,17.33,144.09,59.031
32C-3-I,3,2,C,3,I,165.81,315.55,185.36,149.74,19.55,665.93,86.944
32C-3-S,3,2,C,3,S,167.01,314.34,183.50,147.33,16.49,793.45,88.807
32C-3-O,3,2,C,3,O,166.87,318.40,180.79,151.53,13.92,988.58,90.814
32C-3-E,3,2,C,3,E,164.52,347.87,183.65,183.35,19.13,858.44,89.566
32C-4-I,3,2,C,4,I,165.09,289.25,182.26,124.16,17.17,623.12,86.171
32C-4-O,3,2,C,4,O,168.10,200.01,190.16,31.91,22.06,44.65,30.868
32C-4-N,3,2,C,4,N,166.53,203.31,187.38,36.78,20.85,76.40,43.312
32C-4-E,3,2,C,4,E,164.65,260.57,180.83,95.92,16.18,492.83,83.132
42A-1-W,4,2,A,1,W,164.90,338.51,183.23,173.61,18.33,847.14,89.442
42A-1-I,4,2,A,1,I,167.47,335.60,185.93,168.13,18.46,810.78,89.020
42A-1-O,4,2,A,1,O,167.62,291.23,181.99,123.61,14.37,760.19,88.375
42A-1-S,4,2,A,1,S,166.35,361.40,188.11,195.05,21.76,796.37,88.844
42A-2-E,4,2,A,2,E,166.62,271.16,178.65,104.54,12.03,768.99,88.492
42A-2-I,4,2,A,2,I,165.58,295.55,185.36,129.97,19.78,557.08,84.781
42A-2-S,4,2,A,2,S,168.99,272.24,182.45,103.25,13.46,667.09,86.964
42A-2-O,4,2,A,2,O,166.95,301.04,181.13,134.09,14.18,845.63,89.425
42A-3-I,4,2,A,3,I,166.35,281.23,181.73,114.88,15.38,646.94,86.612
42A-3-O,4,2,A,3,O,165.74,266.93,178.29,101.19,12.55,706.29,87.598
42A-3-N,4,2,A,3,N,166.59,295.37,184.22,128.78,17.63,630.46,86.310
42A-3-W,4,2,A,3,W,166.04,288.91,182.02,122.87,15.98,668.90,86.994
42A-4-I,4,2,A,4,I,166.37,284.08,180.46,117.71,14.09,735.42,88.030
42A-4-N,4,2,A,4,N,164.57,308.04,178.61,143.47,14.04,921.87,90.214
42A-4-O,4,2,A,4,O,167.78,327.16,184.00,159.38,16.22,882.61,89.823
42A-4-E,4,2,A,4,E,164.65,331.22,179.30,166.57,14.65,1037.00,91.205
42B-1-W,4,2,B,1,W,166.54,327.40,187.26,160.86,20.72,676.35,87.119
42B-1-I,4,2,B,1,I,165.78,315.18,185.58,149.4,19.8,654.55,86.747
42B-1-N,4,2,B,1,N,166.84,296.88,185.72,130.04,18.88,588.77,85.481
42B-1-O,4,2,B,1,O,167.00,371.79,199.00,204.79,32,539.97,84.374
42B-2-I,4,2,B,2,I,164.34,270.72,179.56,106.38,15.22,598.95,85.693
42B-2-O,4,2,B,2,O,167.34,267.69,184.76,100.35,17.42,476.06,82.641
42B-2-S,4,2,B,2,S,166.23,291.52,184.15,125.29,17.92,599.16,85.697
42B-2-W,4,2,B,2,W,166.46,285.24,182.96,118.78,16.5,619.88,86.109
42B-3-I,4,2,B,3,I,164.64,288.62,185.27,123.98,20.63,500.97,83.360
42B-3-N,4,2,B,3,N,165.90,236.40,179.34,70.5,13.44,424.55,80.936
42B-3-O,4,2,B,3,O,166.30,268.70,183.10,102.4,16.8,509.52,83.594
42B-3-E,4,2,B,3,E,166.60,280.60,189.65,114,23.05,394.58,79.781
42B-4-E,4,2,B,4,E,164.66,250.00,180.41,85.34,15.75,441.84,81.544
42B-4-I,4,2,B,4,I,167.65,324.52,185.85,156.87,18.2,761.92,88.398
42B-4-O,4,2,B,4,O,165.30,256.20,178.38,90.9,13.08,594.95,85.611
42B-4-S,4,2,B,4,S,164.94,275.10,179.83,110.16,14.89,639.83,86.483
42C-1-W,4,2,C,1,W,166.41,309.39,185.96,142.98,19.55,631.36,86.327
42C-1-I,4,2,C,1,I,166.78,360.42,193.40,193.64,26.62,627.42,86.253
42C-1-O,4,2,C,1,O,168.04,245.20,189.46,77.16,21.42,260.22,72.240
42C-1-N,4,2,C,1,N,164.41,298.37,190.92,133.96,26.51,405.32,80.211
42C-2-E,4,2,C,2,E,166.40,238.65,180.98,72.25,14.58,395.54,79.820
42C-2-I,4,2,C,2,I,164.65,273.85,181.35,109.2,16.7,553.89,84.707
42C-2-S,4,2,C,2,S,164.55,287.17,183.80,122.62,19.25,536.99,84.301
42C-2-O,4,2,C,2,O,167.52,186.26,183.08,18.74,15.56,20.44,16.969
42C-3-I,4,2,C,3,I,165.53,268.94,183.47,103.41,17.94,476.42,82.652
42C-3-S,4,2,C,3,S,166.55,274.10,184.64,107.55,18.09,494.53,83.180
42C-3-O,4,2,C,3,O,165.76,241.50,176.95,75.74,11.19,576.85,85.226
42C-3-W,4,2,C,3,W,168.92,271.97,184.00,103.05,15.08,583.36,85.366
42C-4-I,4,2,C,4,I,166.01,319.71,193.50,153.7,27.49,459.11,82.115
42C-4-O,4,2,C,4,O,167.79,194.66,191.62,26.87,23.83,12.76,11.314
42C-4-N,4,2,C,4,N,166.53,195.67,187.35,29.14,20.82,39.96,28.552
42C-4-E,4,2,C,4,E,166.32,187.91,184.55,21.59,18.23,18.43,15.563
52A-1-I,5,2,A,1,I,166.51,314.00,187.89,147.49,21.38,589.85,85.504
52A-1-O,5,2,A,1,O,166.34,271.68,185.83,105.34,19.49,440.48,81.498
52A-1-N,5,2,A,1,N,164.36,345.50,180.87,181.14,16.51,997.15,90.886
52A-1-W,5,2,A,1,W,166.24,326.37,189.85,160.13,23.61,578.23,85.256
52A-2-W,5,2,A,2,W,165.88,229.99,180.05,64.11,14.17,352.43,77.897
52A-2-I,5,2,A,2,I,165.80,269.72,184.84,103.92,19.04,445.80,81.678
52A-2-O,5,2,A,2,O,167.06,300.10,185.60,133.04,18.54,617.58,86.064
52A-2-S,5,2,A,2,S,166.88,286.05,186.66,119.17,19.78,502.48,83.402
52A-3-E,5,2,A,3,E,167.70,235.79,183.38,68.09,15.68,334.25,76.972
52A-3-I,5,2,A,3,I,167.35,231.14,183.05,63.79,15.7,306.31,75.388
52A-3-S,5,2,A,3,S,166.58,238.17,180.93,71.59,14.35,398.89,79.955
52A-3-O,5,2,A,3,O,164.64,257.94,184.35,93.3,19.71,373.36,78.875
52A-4-I,5,2,A,4,I,164.76,257.05,180.54,92.29,15.78,484.85,82.902
52A-4-N,5,2,A,4,N,165.01,227.80,178.89,62.79,13.88,352.38,77.895
52A-4-O,5,2,A,4,O,164.60,244.21,182.36,79.61,17.76,348.25,77.691
52A-4-E,5,2,A,4,E,168.20,251.88,188.52,83.68,20.32,311.81,75.717
52B-1-I,5,2,B,1,I,166.90,295.61,188.83,128.71,21.93,486.91,82.962
52B-1-N,5,2,B,1,N,165.27,313.04,186.18,147.77,20.91,606.70,85.850
52B-1-O,5,2,B,1,O,167.54,257.30,183.30,89.76,15.76,469.54,82.442
52B-1-E,5,2,B,1,E,166.59,313.28,184.25,146.69,17.66,730.63,87.961
52B-2-W,5,2,B,2,W,167.83,260.08,181.75,92.25,13.92,562.72,84.911
52B-2-I,5,2,B,2,I,166.43,241.80,182.05,75.37,15.62,382.52,79.276
52B-2-N,5,2,B,2,N,165.55,270.70,180.11,105.15,14.56,622.18,86.153
52B-2-O,5,2,B,2,O,166.44,262.84,181.92,96.4,15.48,522.74,83.942
52B-3-E,5,2,B,3,E,165.81,220.32,177.45,54.51,11.64,368.30,78.646
52B-3-I,5,2,B,3,I,166.60,261.90,185.20,95.3,18.6,412.37,80.483
52B-3-O,5,2,B,3,O,164.68,246.63,182.00,81.95,17.32,373.15,78.865
52B-3-S,5,2,B,3,S,166.61,240.13,183.12,73.52,16.51,345.31,77.544
52B-4-I,5,2,B,4,I,166.06,249.60,183.00,83.54,16.94,393.15,79.722
52B-4-O,5,2,B,4,O,164.60,294.62,187.09,130.02,22.49,478.12,82.703
52B-4-S,5,2,B,4,S,168.98,246.19,186.95,77.21,17.97,329.66,76.726
52B-4-W,5,2,B,4,W,166.34,232.77,179.55,66.43,13.21,402.88,80.114
52C-1-E,5,2,C,1,E,167.37,269.17,182.31,101.8,14.94,581.39,85.324
52C-1-I,5,2,C,1,I,165.86,324.59,190.28,158.73,24.42,550.00,84.615
52C-1-O,5,2,C,1,O,166.64,243.58,181.35,76.94,14.71,423.05,80.881
52C-1-N,5,2,C,1,N,166.30,253.63,182.25,87.33,15.95,447.52,81.736
52C-2-W,5,2,C,2,W,165.89,254.42,185.58,88.53,19.69,349.62,77.759
52C-2-I,5,2,C,2,I,164.33,259.53,183.45,95.2,19.12,397.91,79.916
52C-2-S,5,2,C,2,S,166.49,243.09,180.26,76.6,13.77,456.28,82.023
52C-2-O,5,2,C,2,O,167.08,197.38,183.00,30.3,15.92,90.33,47.459
52C-3-I,5,2,C,3,I,166.84,288.74,189.41,121.9,22.57,440.10,81.485
52C-3-O,5,2,C,3,O,166.30,224.48,181.43,58.18,15.13,284.53,73.994
52C-3-S,5,2,C,3,S,164.68,290.66,180.95,125.98,16.27,674.31,87.085
52C-3-E,5,2,C,3,E,166.62,227.18,179.29,60.56,12.67,377.98,79.079
52C-4-I,5,2,C,4,I,166.99,265.36,185.67,98.37,18.68,426.61,81.010
52C-4-N,5,2,C,4,N,164.78,273.56,189.19,108.78,24.41,345.64,77.560
52C-4-O,5,2,C,4,O,165.30,194.04,182.94,28.74,17.64,62.93,38.622
52C-4-W,5,2,C,4,W,164.60,230.47,182.23,65.87,17.63,273.62,73.235,
62A-1-I,6,2,A,1,I,166.48,395.38,187.80,228.9,21.32,973.64,90.686,
62A-1-O,6,2,A,1,O,167.75,434.69,190.16,266.94,22.41,1091.16,91.605,
62A-1-N,6,2,A,1,N,167.59,368.14,183.55,200.55,15.96,1156.58,92.042,
62A-1-E,6,2,A,1,E,168.22,380.41,192.66,212.19,24.44,768.21,88.482,
62A-2-W,6,2,A,2,W,168.93,297.54,187.48,128.61,18.55,593.32,85.577,Entered as 62A-2E
62A-2-I,6,2,A,2,I,166.36,312.92,186.31,146.56,19.95,634.64,86.388,
62A-2-O,6,2,A,2,O,165.05,268.65,179.31,103.6,14.26,626.51,86.236,
62A-2-N,6,2,A,2,N,166.16,275.49,180.28,109.33,14.12,674.29,87.085,
62A-3-I,6,2,A,3,I,165.83,232.00,177.44,66.17,11.61,469.94,82.454,
62A-3-S,6,2,A,3,S,167.85,286.27,180.79,118.42,12.94,815.15,89.073,
62A-3-O,6,2,A,3,O,164.64,271.66,176.70,107.02,12.06,787.40,88.731,
62A-3-W,6,2,A,3,W,165.58,262.18,182.26,96.6,16.68,479.14,82.733,
62A-4-E,6,2,A,4,E,164.68,296.62,185.06,131.94,20.38,547.40,84.554,
62A-4-I,6,2,A,4,I,166.61,302.51,180.60,135.9,13.99,871.41,89.706,
62A-4-S,6,2,A,4,S,166.56,343.80,187.21,177.24,20.65,758.31,88.349,
62A-4-O,6,2,A,4,O,166.40,325.97,180.12,159.57,13.72,1063.05,91.402
62B-1-W,6,2,B,1,W,165.93,238.35,179.95,72.42,14.02,416.55,80.641
62B-1-I,6,2,B,1,I,166.89,267.51,183.08,100.62,16.19,521.49,83.910
62B-1-N,6,2,B,1,N,166.36,259.24,182.80,92.88,16.44,464.96,82.300
62B-1-O,6,2,B,1,O,164.67,226.15,179.70,61.48,15.03,309.05,75.553
62B-2-W,6,2,B,2,W,167.08,225.10,180.95,58.02,13.87,318.31,76.094
62B-2-I,6,2,B,2,I,167.35,259.16,188.64,91.81,21.29,331.24,76.811
62B-2-O,6,2,B,2,O,164.37,238.03,182.47,73.66,18.1,306.96,75.428
62B-2-S,6,2,B,2,S,165.86,227.40,183.29,61.54,17.43,253.07,71.677
62B-3-I,6,2,B,3,I,166.27,235.87,181.59,69.6,15.32,354.31,77.989
62B-3-N,6,2,B,3,N,166.60,206.76,177.29,40.16,10.69,275.68,73.381
62B-3-O,6,2,B,3,O,166.52,261.85,185.93,95.33,19.41,391.14,79.639
62B-3-E,6,2,B,3,E,164.95,222.07,180.85,57.12,15.9,259.25,72.164
62B-4-I,6,2,B,4,I,167.74,236.12,182.44,68.38,14.7,365.17,78.502
62B-4-O,6,2,B,4,O,168.21,262.07,188.79,93.86,20.58,356.07,78.074
62B-4-S,6,2,B,4,S,164.77,227.45,180.76,62.68,15.99,291.99,74.489
62B-4-E,6,2,B,4,E,165.26,231.16,183.51,65.9,18.25,261.10,72.307
62C-1-I,6,2,C,1,I,167.57,312.05,189.46,144.48,21.89,560.03,84.849
62C-1-O,6,2,C,1,O,164.58,256.52,183.10,91.94,18.52,396.44,79.856
62C-1-N,6,2,C,1,N,166.96,324.27,188.11,157.31,21.15,643.78,86.555
62C-1-E,6,2,C,1,E,166.46,304.60,184.90,138.14,18.44,649.13,86.651
62C-2-I,6,2,C,2,I,166.60,304.12,183.72,137.52,17.12,703.27,87.551
62C-2-S,6,2,C,2,S,164.69,286.90,183.67,122.21,18.98,543.89,84.469
62C-2-O,6,2,C,2,O,166.62,231.56,180.30,64.94,13.68,374.71,78.934
62C-2-W,6,2,C,2,W,166.60,393.63,188.06,227.03,21.46,957.92,90.548
62C-3-W,6,2,C,3,W,165.55,380.19,184.51,214.64,18.96,1032.07,91.167
62C-3-I,6,2,C,3,I,165.81,342.16,182.12,176.35,16.31,981.24,90.751
62C-3-O,6,2,C,3,O,166.45,192.00,182.86,25.55,16.41,55.70,35.773
62C-3-N,6,2,C,3,N,164.55,342.97,189.75,178.42,25.2,608.02,85.876
62C-4-E,6,2,C,4,E,166.06,224.46,186.01,58.4,19.95,192.73,65.839
62C-4-I,6,2,C,4,I,166.34,316.23,187.45,149.89,21.11,610.04,85.916
62C-4-S,6,2,C,4,S,168.97,251.07,186.58,82.1,17.61,366.21,78.551
62C-4-O,6,2,C,4,O,167.84,193.68,185.42,25.84,17.58,46.99,31.966
72A-1-W,7,2,A,1,W,166.50,382.96,191.63,216.46,25.13,761.36,88.390
72A-1-I,7,2,A,1,I,165.93,428.77,210.84,262.84,44.91,485.26,82.914
72A-1-O,7,2,A,1,O,166.65,347.19,184.74,180.54,18.09,898.01,89.980
72A-1-S,7,2,A,1,S,166.30,359.23,185.16,192.93,18.86,922.96,90.224
72A-2-E,7,2,A,2,E,164.43,318.83,178.39,154.4,13.96,1006.02,90.959
72A-2-I,7,2,A,2,I,167.36,351.73,181.88,184.37,14.52,1169.77,92.125
72A-2-O,7,2,A,2,O,165.85,326.46,180.51,160.61,14.66,995.57,90.872
72A-2-N,7,2,A,2,N,167.06,359.29,185.72,192.23,18.66,930.17,90.293
72A-3-I,7,2,A,3,I,166.64,366.94,182.14,200.3,15.5,1192.26,92.262
72A-3-O,7,2,A,3,O,164.71,370.69,183.67,205.98,18.96,986.39,90.795
72A-3-S,7,2,A,3,S,166.57,348.32,181.43,181.75,14.86,1123.08,91.824
72A-3-E,7,2,A,3,E,167.35,345.92,180.43,178.57,13.08,1265.21,92.675
72A-4-I,7,2,A,4,I,167.66,352.24,184.32,184.58,16.66,1007.92,90.974
72A-4-N,7,2,A,4,N,164.61,326.06,181.38,161.45,16.77,862.73,89.613
72A-4-O,7,2,A,4,O,166.65,340.22,182.89,173.57,16.24,968.78,90.644
72A-4-W,7,2,A,4,W,165.30,337.39,180.43,172.09,15.13,1037.41,91.208
