"SampleID","Block","Time","Chamber","Frag","Pos","ARA.dwt","Cells.dwt","Nostoc","Nostoc.H","Stigonema","Stigonema.H","Other.cells","Cells","H.cells","ARA","ARA.m","Position","Nfix","ARA.g"
"21C-4.I","2","1","C","4","I",484.3,61.8,0,0,12,0,0,107874.865156419,0,-0.000207232304996549,-17.2693587497124,"I",-6.90774349988495e-05,-4.27900691712882e-07
"21C-4.S","2","1","C","4","S",619.6,67,0,0,14,1,0,116086.235489221,8291.87396351575,NA,NA,"S",NA,NA
"21C-4.E","2","1","C","4","E",705.6,58.4,24,3,27,1,3,513698.630136986,38051.7503805175,NA,NA,"E",NA,NA
"31A-1.O","3","1","A","1","O",507.9,38.8,1,0,0,0,0,14318.4421534937,0,0.000337044616876819,28.0870514064016,"O",0.000112348205625606,6.63604286034295e-07
"31A-1.I","3","1","A","1","I",537.2,44,22,2,38,1,0,125104.253544621,6255.21267723103,4.60446168768186e-05,3.83705140640155,"I",1.53482056256062e-05,8.57122428831321e-08
"31A-1.N","3","1","A","1","N",578.4,38.5,0,0,54,5,0,779220.77922078,72150.0721500721,-8.19553831231814e-05,-6.82961526026512,"N",-2.73184610410605e-05,-1.41693262661102e-07
"31A-1.W","3","1","A","1","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000161955383123181,-13.4962819269318,"W",-5.39851277077271e-05,NA
"31A-2.O","3","1","A","2","O",618.6,53.5,0,0,409,47,0,4247144.34060228,488058.151609554,0.00847315488215488,706.096240179574,"O",0.00282438496071829,1.36973082479064e-05
"31A-2.I","3","1","A","2","I",463.1,55.9,0,0,93,3,1,84078.7119856887,2683.36314847943,0.00498315488215488,415.26290684624,"I",0.00166105162738496,1.07604294583349e-05
"31A-2.N","3","1","A","2","N",758,63,26,2,31,2,0,502645.502645503,35273.3686067019,0.00510165488215488,425.13790684624,"N",0.00170055162738496,6.73041541181383e-06
"31A-2.E","3","1","A","2","E",357.9,59,15,3,56,7,0,668549.905838041,94161.9585687382,0.00532665488215488,443.88790684624,"E",0.00177555162738496,1.48830815371749e-05
"31A-3.O","3","1","A","3","O",512.9,60.1,0,0,169,16,0,1562211.12959882,147901.645405805,0.00574287162162162,478.572635135135,"O",0.00191429054054054,1.11968641482192e-05
"31A-3.I","3","1","A","3","I",741.5,81,0,0,62,7,0,425240.054869685,48010.9739368999,0.0049864222972973,415.535191441441,"I",0.00166214076576577,6.72477720471652e-06
"31A-3.S","3","1","A","3","S",548.1,86.5,18,3,110,10,0,822093.770070649,83493.8985228003,0.00574814695945946,479.012246621622,"S",0.00191604898648649,1.04874055089572e-05
"31A-3.W","3","1","A","3","W",511.6,38.6,34,5,143,25,0,2547495.68221071,431778.929188256,NA,NA,"W",NA,NA
"31A-4.O","3","1","A","4","O",571.4,32.5,0,0,50,10,2,80000,15384.6153846154,0.003318,276.5,"O",0.001106,5.80679033951698e-06
"31A-4.I","3","1","A","4","I",570.3,47.7,0,0,24,4,1,291171.674819474,46587.4679711158,0.005877,489.75,"I",0.001959,1.03051025775907e-05
"31A-4.S","3","1","A","4","S",687.7,64.5,36,7,34,6,0,602928.509905254,111972.437553833,0.010877,906.416666666667,"S",0.00362566666666667,1.58164897484368e-05
"31A-4.E","3","1","A","4","E",534.8,41.8,0,0,11,1,2,28532.5490540363,2194.81146569510,0.006148,512.333333333333,"E",0.00204933333333333,1.14958863126402e-05
"31B-1.O","3","1","B","1","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.33554817492742e-05,7.77962347910618,"O",3.11184939164247e-05,NA
"31B-1.I","3","1","B","1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00329835548174927,274.862956812440,"I",0.00109945182724976,NA
"31B-1.N","3","1","B","1","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000283144518250726,-23.5953765208938,"N",-9.43815060835753e-05,NA
"31B-1.E","3","1","B","1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000323144518250726,-26.9287098542272,"E",-0.000107714839416909,NA
"31B-2.O","3","1","B","2","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.18399612027158e-05,-1.81999676689298,"O",-7.27998706757194e-06,NA
"31B-2.I","3","1","B","2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000250839961202716,-20.9033301002263,"I",-8.36133204009053e-05,NA
"31B-2.S","3","1","B","2","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000166839961202716,-13.9033301002263,"S",-5.56133204009053e-05,NA
"31B-2.W","3","1","B","2","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00334916003879728,279.096669899774,"W",0.00111638667959909,NA
"31B-3.O","3","1","B","3","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000591160038797284,49.2633365664404,"O",0.000197053346265761,NA
"31B-3.I","3","1","B","3","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00272983681495529,227.486401246274,"I",0.000909945604985097,NA
"31B-3.S","3","1","B","3","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00126887462590057,105.739552158380,"S",0.000422958208633522,NA
"31B-3.E","3","1","B","3","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7874625900565e-05,7.32288549171375,"E",2.9291541966855e-05,NA
"31B-4.O","3","1","B","4","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.90822764672875e-05,-8.25685637227396,"O",-3.30274254890958e-05,NA
"31B-4.I","3","1","B","4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20708050436469e-05,1.83923375363724,"I",7.35693501454897e-06,NA
"31B-4.N","3","1","B","4","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62852218495384e-05,6.35710182079486,"N",2.54284072831794e-05,NA
"31B-4.W","3","1","B","4","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000222285221849538,18.5237684874615,"W",7.40950739498461e-05,NA
"31C-1.O","3","1","C","1","O",852.5,33.7,0,0,70,4,0,1153972.96406198,65941.3122321134,0.00569624927255092,474.687439379243,"O",0.00189874975751697,6.68181732850548e-06
"31C-1.I","3","1","C","1","I",638.2,41.9,0,0,14,2,0,185627.154600902,26518.1649429859,0.00315624927255092,263.020772712577,"I",0.00105208309085031,4.94554884448593e-06
"31C-1.S","3","1","C","1","S",575.7,56.4,40,8,157,12,0,1940504.33412136,197005.516154452,0.00232704064914858,193.920054095715,"S",0.000775680216382859,4.04210639073923e-06
"31C-1.E","3","1","C","1","E",429.9,40.9,13,2,87,8,0,1358326.54170062,135832.654170062,0.00420504064914858,350.420054095715,"E",0.00140168021638286,9.78143905361381e-06
"31C-2.O","3","1","C","2","O",356.4,44.3,0,0,131,16,0,147855.530474041,18058.690744921,-0.000176661493695441,-14.7217911412868,"O",-5.88871645651471e-05,-4.95683203410329e-07
"31C-2.I","3","1","C","2","I",424,32,0,0,109,7,0,1892361.11111111,121527.777777778,0.00129733850630456,108.111542192047,"I",0.000432446168768186,3.05976062807679e-06
"31C-2.N","3","1","C","2","N",544.1,66.5,5,0,161,21,0,1386800.33416876,175438.596491228,-0.000155161493695441,-12.9301244746201,"N",-5.17204978984804e-05,-2.85170912875283e-07
"31C-2.E","3","1","C","2","E",671.9,55.8,0,0,9,1,1,16441.4192233074,1644.14192233074,-0.000278161493695441,-23.1801244746201,"E",-9.27204978984804e-05,-4.1399240020158e-07
"31C-3.O","3","1","C","3","O",397.2,47.5,0,0,74,8,0,865497.076023392,93567.2514619883,-0.000123661493695441,-10.3051244746201,"O",-4.12204978984804e-05,-3.11333065698493e-07
"31C-3.I","3","1","C","3","I",561.6,38.1,0,0,79,6,0,1151939.34091572,87489.0638670166,0.00451833850630456,376.528208858713,"I",0.00150611283543485,8.0454745482631e-06
"31C-3.N","3","1","C","3","N",543.6,52.1,74,12,158,36,1,2484538.28108339,511836.212412028,-0.000465161493695441,-38.7634578079534,"N",-0.000155053831231814,-8.55705470374248e-07
"31C-3.W","3","1","C","3","W",371.4,30.6,9,4,95,11,8,2033405.95497458,272331.154684096,0.00521783850630456,434.81987552538,"W",0.00173927950210152,1.4049107448316e-05
"31C-4.O","3","1","C","4","O",484,36.8,0,0,93,2,0,1403985.50724638,30193.2367149758,-0.00038570611057226,-32.1421758810217,"O",-0.000128568703524087,-7.96913451595579e-07
"31C-4.I","3","1","C","4","I",347.1,45.8,0,0,21,1,0,254730.713245997,12130.0339640951,0.00400229388942774,333.524490785645,"I",0.00133409796314258,1.15306651957008e-05
"31C-4.S","3","1","C","4","S",453.4,24.1,0,0,43,3,0,991240.20285846,69156.2932226833,0.000195900969157708,16.3250807631423,"S",6.53003230525693e-05,4.32070950943334e-07
"31C-4.W","3","1","C","4","W",532.8,50.1,5,1,4,0,0,99800.3992015968,11088.9332446219,0.00442190096915771,368.491747429809,"W",0.00147396698971924,8.29936368085155e-06
"41A-1.O","4","1","A","1","O",565.2,47.8,0,0,41,1,0,476522.547652255,11622.5011622501,0.004874,406.166666666667,"O",0.00162466666666667,8.62349610757254e-06
