"SampleID","Block","Time","Chamber","Frag","Pos","grow01","Prod01","notes01","grow12","Prod12","notes12","grow23","Prod23","notes23","mg.cm","mg.mm"
"64A-E.I","6","4","A","E","1",NA,NA,"",2.71,NA,"",4.9,NA,"",NA,NA
"64A-E.O","6","4","A","E","0",NA,NA,"curly",4.07,NA,"",1.99,NA,"",NA,NA
"64A-N.I","6","4","A","N","1",NA,NA,"",4.08,NA,"",3.25,NA,"",NA,NA
"64A-N.O","6","4","A","N","0",NA,NA,"",5.01,NA,"",1.18,NA,"",NA,NA
"64A-S.I","6","4","A","S","1",NA,NA,"curly",2.92,NA,"",6.61,NA,"",NA,NA
"64A-S.O","6","4","A","S","0",NA,NA,"",4.65,NA,"",7.64,NA,"",NA,NA
"64A-W.I","6","4","A","W","1",NA,NA,"",4.93,NA,"",3.61,NA,"",NA,NA
"64A-W.O","6","4","A","W","0",NA,NA,"",0.91,NA,"",1.18,NA,"",NA,NA
"64B-1.I","6","4","B","1","1",6.69,NA,"",15.53,NA,"loose",12.03,NA,"curly, loose",NA,NA
"64B-1.O","6","4","B","1","0",2.16,NA,"dry",NA,NA,"broken",-0.15,NA,"dry, broken",NA,NA
"64B-1.S","6","4","B","1","S",8.4,NA,"wet",6.39,NA,"",4.94,NA,"",NA,NA
"64B-2.c","6","4","B","2","c",0.92,NA,"",-0.37,NA,"dry, curly",1.95,NA,"dry + curly",NA,NA
"64B-2.c2","6","4","B","2","c2",NA,NA,"",4.61,NA,"",2.93,NA,"",NA,NA
"64B-2.E","6","4","B","2","E",NA,NA,"curly",4.97,NA,"",3.71,NA,"",NA,NA
"64B-2.I","6","4","B","2","1",5.3,NA,"",9.02,NA,"",1.44,NA,"",NA,NA
"64B-2.O","6","4","B","2","0",-0.13,NA,"16.81",2.07,NA,"dry, curly",-0.47,NA,"cry, curly",NA,NA
"64B-3.c","6","4","B","3","c",3.71,NA,"dry",1.48,NA,"curly",1,NA,"dry",NA,NA
"64B-3.c2","6","4","B","3","c2",NA,NA,"",4.92,NA,"",3.27,NA,"bent",NA,NA
"64B-3.I","6","4","B","3","1",6.15,NA,"",1.7,NA,"loose",3.19,NA,"loose, bent",NA,NA
"64B-3.O","6","4","B","3","0",3.55,NA,"wet",5.72,NA,"",-0.28,NA,"dry + curly",NA,NA
"64B-3.W","6","4","B","3","W",NA,NA,"",1.38,NA,"dry",-1.38,NA,"",NA,NA
"64B-4.I","6","4","B","4","1",4.22,NA,"",0.35,NA,"",3.67,NA,"curly",NA,NA
"64B-4.N","6","4","B","4","N",-1.11,NA,"dry; 22.12",-0.04,NA,"",-0.17,NA,"dry",NA,NA
"64B-4.O","6","4","B","4","0",3.45,NA,"wet",5.71,NA,"",3.39,NA,"",NA,NA
"64B-E.I","6","4","B","E","1",NA,NA,"curly",5.93,NA,"",2.81,NA,"",NA,NA
"64B-E.O","6","4","B","E","0",NA,NA,"",3.87,NA,"",3.15,NA,"",NA,NA
"64B-N.I","6","4","B","N","1",NA,NA,"curly",6.38,NA,"",2.33,NA,"",NA,NA
"64B-N.O","6","4","B","N","0",NA,NA,"curly",0.27,NA,"",1.02,NA,"",NA,NA
"64B-S.I","6","4","B","S","1",NA,NA,"",3.85,NA,"",4.57,NA,"",NA,NA
"64B-S.O","6","4","B","S","0",NA,NA,"curly",2.21,NA,"",3.19,NA,"",NA,NA
"64B-W.I","6","4","B","W","1",NA,NA,"",4.54,NA,"",2.89,NA,"",NA,NA
"64B-W.O","6","4","B","W","0",NA,NA,"curly",-3.33,NA,"",5.92,NA,"",NA,NA
